resolution,width,height,pixels,graph_macs,graph_operations_mac_eq_2,gop_per_frame,f0_assumed_reconstruction_gop,ratio_to_f0_budget,status
64x64_probe,64,64,4096,2555904,5111808,0.005111808,30,0.0001703936,EXACT_GRAPH_ARITHMETIC
360p,640,360,230400,143769600,287539200,0.2875392,30,0.00958464,SCALED_FIXED_GRAPH_ARITHMETIC
540p,960,540,518400,323481600,646963200,0.6469632,30,0.02156544,SCALED_FIXED_GRAPH_ARITHMETIC
720p,1280,720,921600,575078400,1150156800,1.1501568,30,0.03833856,SCALED_FIXED_GRAPH_ARITHMETIC
1080p,1920,1080,2073600,1293926400,2587852800,2.5878528,30,0.08626176,SCALED_FIXED_GRAPH_ARITHMETIC
