source_resolution,source_fps,output_resolution,output_fps_target,nodes,nominal_tops_per_node,effective_utilization,bandwidth_mib_s,output_mode,frames,authoritative_frames,reconstructed_frames,throughput_fps,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_misses,input_bytes,output_bytes,total_transfer_bytes,avg_transfer_bytes_per_frame,transfer_mib_s_over_clip,egress_busy_fraction,ingress_busy_fraction,max_node_busy_fraction,stale_replays_rejected,required_gop_s,required_effective_tops,delivered_gop_s,compute_headroom_ratio,bottleneck
360p,5,1080p,60,8,2.0,0.4,125,encoded,600,50,550,60.379863207616566,60.88776611328058,86.12089111328169,104.93760986328198,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.1294270041959231,0.016346934010454738,0.38114788649807896,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,125,raw,600,50,550,41.368504606124546,2291.604453124981,4213.2839062499625,4560.924687499961,597,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08867528567968908,0.985003486158357,0.2611386853261608,1,1710.0,1.71,6400.0,3.742690058479532,OUTPUT_INTERCONNECT
360p,5,1080p,60,8,2.0,0.4,200,encoded,600,50,550,60.43037087716073,52.58235382080011,82.52055694580122,100.16100616455151,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.08214700035056538,0.012038291249729324,0.38146671616207656,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,200,raw,600,50,550,58.92111932082118,144.52124999999933,219.07896484374942,293.63667968749905,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.08009537487933109,0.8786048025192672,0.3719395657126831,1,1710.0,1.71,6400.0,3.742690058479532,OUTPUT_INTERCONNECT_HEADROOM_LOW
360p,5,1080p,60,8,2.0,0.4,400,encoded,600,50,550,60.47252519479776,45.66117691039972,79.52027847290083,96.18050308227612,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.04268653191153427,0.00844224539849052,0.3817328152921603,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,400,raw,600,50,550,59.93070231619524,91.63062499999933,129.10948242187442,166.58833984374905,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.042304068313009764,0.44922684946029995,0.3783125583709818,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,800,encoded,600,50,550,60.49362441545129,42.20058845519952,78.02013923645063,94.19025154113842,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.022935645706807735,0.006642340450465462,0.3818660041225357,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,800,raw,600,50,550,60.37676655973704,65.18531249999933,88.13376953125044,107.07319824218757,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.02289134003984501,0.22870029321100904,0.38112833890833947,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,1600,encoded,600,50,550,60.50417954797331,40.470294227599425,77.27006961822553,93.19512577056958,0,164454400,15000000,179454400,299090.6666666667,17.114105224609375,0.013055033302141581,0.005741916896183642,0.3819326333965809,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
360p,5,1080p,60,8,2.0,0.4,1600,raw,600,50,550,60.44591730908837,51.96265624999933,82.32688476562544,95.03416748046948,0,164454400,1866240000,2030694400,3384490.6666666665,193.662109375,0.013042462014098628,0.11689895086663418,0.3815648530136197,1,1710.0,1.71,6400.0,3.742690058479532,HEADROOM
